Time,Predicted_Device_1,Predicted_Device_2,Predicted_Device_3,Predicted_Device_4,Predicted_Device_5,Density,Risk
2024-07-25 23:32:41,-51.851444,-59.721012,-61.266045,-62.433666,-59.25596,,
2024-07-25 23:32:42,-52.26927,-58.634758,-60.88392,-62.69262,-58.032375,,
2024-07-25 23:32:43,-52.033623,-56.8508,-59.76072,-62.49224,-55.53681,,
2024-07-25 23:32:44,-51.38173,-56.637974,-59.30436,-62.160004,-54.997383,,
2024-07-25 23:32:45,-51.869804,-56.646275,-59.485905,-62.55585,-54.824936,,
2024-07-25 23:32:46,-54.14698,-56.40617,-60.068325,-63.509953,-54.061348,,
2024-07-25 23:32:47,-54.39831,-56.416916,-60.162487,-62.97062,-53.42724,,
2024-07-25 23:32:48,-52.97653,-55.889656,-59.493732,-61.949825,-52.499504,,
2024-07-25 23:32:49,-51.535748,-54.715115,-58.563805,-60.89361,-50.950577,,
2024-07-25 23:32:50,-51.70308,-53.616653,-57.964,-60.61932,-49.535686,,
2024-07-25 23:32:51,-52.250515,-54.61406,-58.52786,-61.300205,-51.44242,0.6,1.0
2024-07-25 23:32:52,-51.09847,-55.609417,-58.851486,-60.269676,-52.281605,0.8,1.0
2024-07-25 23:32:53,-50.039497,-55.98679,-58.940964,-59.859085,-52.756607,0.4,0.0
2024-07-25 23:32:54,-48.97731,-54.873657,-58.14577,-59.265034,-51.400543,0.8,1.0
2024-07-25 23:32:55,-49.39997,-54.70672,-58.222496,-59.267117,-51.27894,0.6,1.0
2024-07-25 23:32:56,-48.278996,-54.137722,-57.742764,-58.570282,-50.201065,0.6,1.0
2024-07-25 23:32:57,-48.972992,-53.715008,-57.59205,-58.681915,-49.678677,1.0,1.0
2024-07-25 23:32:58,-50.690723,-53.819767,-57.69246,-59.22643,-50.514687,1.0,1.0
2024-07-25 23:32:59,-50.02165,-54.302265,-57.955345,-59.69893,-51.615208,0.8,1.0
2024-07-25 23:33:00,-50.395958,-54.685993,-58.153538,-60.577106,-52.446632,0.6,1.0
2024-07-25 23:33:01,-51.1367,-54.79909,-57.91266,-60.531307,-53.195347,0.8,1.0
2024-07-25 23:33:02,-53.374126,-54.998863,-58.606346,-62.448303,-54.6944,1.0,1.0
2024-07-25 23:33:03,-53.859978,-55.13216,-58.716175,-62.862442,-55.051773,0.8,1.0
2024-07-25 23:33:04,-54.311714,-55.87126,-59.033283,-63.02147,-56.677734,0.8,1.0
2024-07-25 23:33:05,-54.83492,-56.928474,-59.7089,-63.826633,-58.243,1.0,1.0
2024-07-25 23:33:06,-56.268826,-57.657288,-60.460712,-65.26682,-59.716732,0.8,1.0
2024-07-25 23:33:07,-57.41835,-59.02166,-61.257168,-66.52242,-62.044586,0.6,1.0
2024-07-25 23:33:08,-56.874603,-58.174408,-60.595314,-66.099525,-60.609318,0.6,1.0
2024-07-25 23:33:09,-56.90372,-58.654694,-61.049576,-65.52728,-60.476685,0.6,1.0
2024-07-25 23:33:10,-55.79698,-59.260765,-61.172474,-65.256836,-60.892506,0.8,1.0
2024-07-25 23:33:11,-54.244358,-58.603813,-60.42852,-64.4256,-59.707504,0.8,1.0
2024-07-25 23:33:12,-52.087776,-59.141388,-60.745636,-63.394184,-58.851273,0.8,1.0
2024-07-25 23:33:13,-50.897427,-58.338577,-60.47206,-62.962006,-56.902897,0.6,1.0
2024-07-25 23:33:14,-49.83847,-56.989536,-59.921703,-62.72013,-54.480583,0.6,1.0
2024-07-25 23:33:15,-49.563877,-56.083767,-59.147354,-62.08328,-53.70972,0.4,0.0
2024-07-25 23:33:16,-48.144493,-55.15263,-58.360336,-61.28651,-52.459652,0.4,0.0
2024-07-25 23:33:17,-49.59974,-54.17817,-57.966232,-61.972107,-51.9588,0.6,1.0
2024-07-25 23:33:18,-48.570145,-53.970474,-57.37363,-61.691273,-51.274757,0.8,1.0
2024-07-25 23:33:19,-50.6213,-53.41699,-57.236923,-62.091965,-50.861313,0.4,0.0
2024-07-25 23:33:20,-49.9782,-53.27393,-56.886154,-61.485428,-50.771362,0.6,1.0
2024-07-25 23:33:21,-49.67077,-53.247154,-56.98279,-60.827232,-50.4399,0.4,0.0
2024-07-25 23:33:22,-49.91304,-53.62535,-56.88789,-59.83182,-50.65546,0.8,1.0
2024-07-25 23:33:23,-49.8757,-54.428703,-57.20375,-59.121834,-51.356888,0.8,1.0
2024-07-25 23:33:24,-49.73686,-55.325653,-58.18641,-59.03336,-51.74571,1.0,1.0
2024-07-25 23:33:25,-50.343628,-55.545666,-58.597595,-59.95119,-52.128124,0.6,1.0
2024-07-25 23:33:26,-50.128124,-55.638844,-58.870903,-60.350315,-52.906193,0.6,1.0
2024-07-25 23:33:27,-50.333935,-56.343563,-58.971664,-60.700943,-54.449696,0.6,1.0
2024-07-25 23:33:28,-51.355164,-57.198124,-59.58297,-61.464798,-56.526863,0.8,1.0
2024-07-25 23:33:29,-51.43746,-57.713276,-59.685093,-61.526073,-57.16238,0.8,1.0
2024-07-25 23:33:30,-52.57571,-58.420643,-60.598232,-62.58098,-58.22628,1.0,1.0
